% [Description]
% EMI Scan QP

% [Header]
% Detector Mode=QP
% Dwell Time=0.2s
% Attenuation Level=AutodB
% Frequency Unit=Hz
% OverRange Flag=0
% Amplitude Unit=dB /m
% IF Filter=120kHz
% Scan=Scan1
% RF Port=RF1
% Transducer1=FP17_N4to6_LMR400_2_5m_Flex
% Transducer2=CB3-FP16-N5
% Transducer3=CB3_AP9_N5_to_FP17_N
% Transducer4=CB3_AP9_N5_LMR400
% Transducer5=N5
% Transducer6=20240926_cable_N_N_10m_AntennaCable_Blue_FTB_B
% Transducer7=Schwarzbeck VULB 9162 with Broadband TRILOG Antenna FTB-B  7GHz
% Transducer8=Attenuator 6dB

% [Data: f, Magnitude original, Magnitude with Transducer]
30000000.000  18.178 33.438
30048828.125  24.149 39.468
30097656.250  22.381 37.731
30146484.375  21.369 36.795
30195312.500  23.862 39.349
30244140.625  22.413 37.918
30292968.750  21.375 36.937
30341796.875  24.035 39.649
30390625.000  22.297 37.953
30439453.125  21.479 37.198
30488281.250  24.044 39.781
30537109.375  22.265 38.056
30585937.500  21.321 37.145
30634765.625  23.984 39.866
30683593.750  22.275 38.195
30732421.875  21.188 37.143
30781250.000  23.911 39.908
30830078.125  22.237 38.286
30878906.250  21.235 37.298
30927734.375  23.934 40.045
30976562.500  22.287 38.443
31025390.625  21.222 37.416
31074218.750  23.968 40.179
31123046.875  22.267 38.516
31171875.000  21.216 37.511
31220703.125  23.954 40.260
31269531.250  22.231 38.574
31318359.375  21.166 37.529
31367187.500  23.777 40.176
31416015.625  22.149 38.565
31464843.750  21.137 37.586
31513671.875  23.955 40.430
31562500.000  22.154 38.644
31611328.125  21.349 37.874
31660156.250  23.901 40.434
31708984.375  22.252 38.795
31757812.500  21.336 37.905
31806640.625  23.898 40.471
31855468.750  22.212 38.791
31904296.875  21.184 37.787
31953125.000  23.927 40.535
32001953.125  22.141 38.762
32050781.250  21.050 37.675
32099609.375  23.919 40.548
32148437.500  22.260 38.894
32197265.625  21.201 37.836
32246093.750  23.878 40.523
32294921.875  22.195 38.851
32343750.000  21.275 37.936
32392578.125  23.885 40.538
32441406.250  22.286 38.949
32490234.375  21.105 37.775
32539062.500  24.006 40.677
32587890.625  22.111 38.778
32636718.750  21.104 37.780
32685546.875  23.853 40.527
32734375.000  22.326 39.009
32783203.125  21.180 37.868
32832031.250  23.920 40.622
32880859.375  22.216 38.910
32929687.500  21.257 37.949
32978515.625  23.849 40.548
33027343.750  22.340 39.035
33076171.875  21.166 37.861
33125000.000  23.906 40.600
33173828.125  22.238 38.936
33222656.250  21.181 37.892
33271484.375  23.792 40.493
33320312.500  22.176 38.879
33369140.625  21.217 37.929
33417968.750  23.813 40.530
33466796.875  22.254 38.970
33515625.000  21.236 37.956
33564453.125  23.928 40.650
33613281.250  22.281 38.998
33662109.375  21.259 37.977
33710937.500  23.863 40.588
33759765.625  22.219 38.949
33808593.750  21.294 38.034
33857421.875  23.880 40.620
33906250.000  22.327 39.082
33955078.125  21.186 37.951
34003906.250  23.870 40.630
34052734.375  22.292 39.054
34101562.500  21.267 38.035
34150390.625  23.929 40.706
34199218.750  22.409 39.193
34248046.875  21.332 38.121
34296875.000  23.889 40.696
34345703.125  22.241 39.052
34394531.250  21.206 38.032
34443359.375  23.921 40.742
34492187.500  22.111 38.944
34541015.625  21.216 38.070
34589843.750  23.769 40.639
34638671.875  22.139 39.013
34687500.000  21.142 38.010
34736328.125  23.940 40.843
34785156.250  22.088 39.004
34833984.375  21.195 38.109
34882812.500  23.886 40.818
34931640.625  22.133 39.074
34980468.750  21.170 38.118
35029296.875  23.882 40.860
35078125.000  22.237 39.230
35126953.125  21.118 38.121
35175781.250  23.840 40.854
35224609.375  22.253 39.280
35273437.500  21.171 38.201
35322265.625  23.974 41.026
35371093.750  22.123 39.196
35419921.875  21.281 38.374
35468750.000  23.845 40.939
35517578.125  22.203 39.310
35566406.250  21.372 38.503
35615234.375  23.862 40.997
35664062.500  22.363 39.509
35712890.625  21.258 38.437
35761718.750  23.904 41.086
35810546.875  22.483 39.671
35859375.000  21.426 38.641
35908203.125  23.860 41.075
35957031.250  22.270 39.514
36005859.375  21.392 38.636
36054687.500  23.790 41.050
36103515.625  22.190 39.457
36152343.750  21.395 38.675
36201171.875  23.783 41.080
36250000.000  22.174 39.477
36298828.125  21.500 38.841
36347656.250  23.868 41.211
36396484.375  22.152 39.506
36445312.500  21.245 38.608
36494140.625  23.994 41.383
36542968.750  22.163 39.567
36591796.875  21.383 38.803
36640625.000  23.861 41.296
36689453.125  22.169 39.608
36738281.250  21.306 38.774
36787109.375  23.857 41.331
36835937.500  22.015 39.515
36884765.625  21.060 38.570
36933593.750  23.827 41.344
36982421.875  22.233 39.759
37031250.000  21.117 38.657
37080078.125  23.754 41.321
37128906.250  22.123 39.697
37177734.375  21.392 38.979
37226562.500  23.705 41.313
37275390.625  22.146 39.761
37324218.750  21.172 38.803
37373046.875  23.707 41.346
37421875.000  22.067 39.732
37470703.125  21.193 38.859
37519531.250  23.816 41.505
37568359.375  22.143 39.841
37617187.500  21.093 38.821
37666015.625  23.743 41.477
37714843.750  22.024 39.773
37763671.875  21.135 38.895
37812500.000  23.800 41.572
37861328.125  22.134 39.906
37910156.250  21.179 38.965
37958984.375  23.812 41.607
38007812.500  22.344 40.148
38056640.625  21.197 39.020
38105468.750  23.757 41.603
38154296.875  22.060 39.918
38203125.000  21.049 38.910
38251953.125  23.693 41.576
38300781.250  22.142 40.030
38349609.375  21.168 39.069
38398437.500  23.804 41.718
38447265.625  22.088 40.018
38496093.750  21.002 38.941
38544921.875  23.745 41.696
38593750.000  22.085 40.040
38642578.125  20.998 38.970
38691406.250  23.696 41.681
38740234.375  22.158 40.155
38789062.500  21.041 39.041
38837890.625  23.662 41.684
38886718.750  22.026 40.060
38935546.875  21.081 39.119
38984375.000  23.781 41.838
39033203.125  21.983 40.051
39082031.250  21.084 39.151
39130859.375  23.645 41.721
39179687.500  22.062 40.149
39228515.625  21.079 39.179
39277343.750  23.646 41.756
39326171.875  22.137 40.259
39375000.000  20.963 39.100
39423828.125  23.649 41.797
39472656.250  22.028 40.178
39521484.375  21.041 39.202
39570312.500  23.777 41.943
39619140.625  22.004 40.188
39667968.750  21.095 39.295
39716796.875  23.675 41.880
39765625.000  22.046 40.262
39814453.125  20.957 39.183
39863281.250  23.687 41.927
39912109.375  22.055 40.300
39960937.500  20.988 39.240
40009765.625  23.640 41.910
40058593.750  22.008 40.281
40107421.875  20.919 39.206
40156250.000  23.611 41.911
40205078.125  22.009 40.306
40253906.250  20.950 39.261
40302734.375  23.669 41.973
40351562.500  21.926 40.235
40400390.625  21.074 39.409
40449218.750  23.712 42.051
40498046.875  22.131 40.480
40546875.000  21.044 39.399
40595703.125  23.642 42.007
40644531.250  21.943 40.312
40693359.375  21.114 39.496
40742187.500  23.751 42.139
40791015.625  22.018 40.409
40839843.750  21.129 39.531
40888671.875  23.649 42.067
40937500.000  21.948 40.373
40986328.125  21.058 39.485
41035156.250  23.667 42.109
41083984.375  22.005 40.453
41132812.500  20.951 39.405
41181640.625  23.568 42.031
41230468.750  22.073 40.538
41279296.875  21.206 39.677
41328125.000  23.661 42.147
41376953.125  22.032 40.516
41425781.250  21.100 39.594
41474609.375  23.765 42.274
41523437.500  21.902 40.420
41572265.625  21.109 39.640
41621093.750  23.685 42.226
41669921.875  21.914 40.460
41718750.000  20.835 39.390
41767578.125  23.671 42.230
41816406.250  21.973 40.547
41865234.375  21.072 39.648
41914062.500  23.649 42.229
41962890.625  22.174 40.773
42011718.750  21.050 39.652
42060546.875  23.619 42.235
42109375.000  22.052 40.672
42158203.125  21.016 39.642
42207031.250  23.767 42.396
42255859.375  22.276 40.921
42304687.500  21.130 39.792
42353515.625  23.826 42.502
42402343.750  22.071 40.747
42451171.875  21.196 39.881
42500000.000  23.820 42.519
42548828.125  22.004 40.706
42597656.250  21.167 39.876
42646484.375  23.812 42.537
42695312.500  22.145 40.869
42744140.625  21.173 39.913
42792968.750  23.754 42.497
42841796.875  21.954 40.709
42890625.000  20.945 39.716
42939453.125  23.664 42.441
42988281.250  21.979 40.764
43037109.375  20.867 39.670
43085937.500  23.761 42.573
43134765.625  21.892 40.706
43183593.750  21.017 39.850
43232421.875  23.591 42.438
43281250.000  22.158 41.008
43330078.125  20.940 39.797
43378906.250  23.638 42.496
43427734.375  21.950 40.824
43476562.500  21.001 39.874
43525390.625  23.673 42.564
43574218.750  21.964 40.858
43623046.875  20.938 39.842
43671875.000  23.555 42.463
43720703.125  21.978 40.901
43769531.250  21.030 39.954
43818359.375  23.638 42.570
43867187.500  22.001 40.938
