Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,861.201171875,42.87542509439325,47.0,4.1245749056067496,PASS
Worst-case envelope,35.615234375,42.472425094393245,40.0,-2.4724250943932446,FAIL
Worst-case envelope,857.197265625,41.704425094393244,47.0,5.295574905606756,PASS
Worst-case envelope,854.21875,41.346425094393254,47.0,5.653574905606746,PASS
Worst-case envelope,48.75,37.709425094393254,40.0,2.2905749056067464,PASS
Worst-case envelope,38.837890625,36.92842509439325,40.0,3.0715749056067523,PASS
Worst-case envelope,162.51953125,31.62342509439325,40.0,8.376574905606748,PASS
Worst-case envelope,505.634765625,31.48342509439325,47.0,15.516574905606749,PASS
Worst-case envelope,94.501953125,30.878425094393247,40.0,9.121574905606753,PASS
Worst-case envelope,503.53515625,30.52342509439325,47.0,16.47657490560675,PASS
Worst-case envelope,494.013671875,29.777425094393248,47.0,17.222574905606752,PASS
Worst-case envelope,483.369140625,29.21842509439325,47.0,17.78157490560675,PASS
