Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,898.5546875,50.40542509439325,47.0,-3.4054250943932516,FAIL
Worst-case envelope,34.296875,41.965425094393254,40.0,-1.9654250943932539,FAIL
Worst-case envelope,43.427734375,39.91742509439325,40.0,0.08257490560674796,PASS
Worst-case envelope,857.978515625,38.820425094393244,47.0,8.179574905606756,PASS
Worst-case envelope,861.201171875,38.30242509439324,47.0,8.697574905606757,PASS
Worst-case envelope,855.732421875,36.48842509439325,47.0,10.51157490560675,PASS
Worst-case envelope,852.705078125,35.868425094393245,47.0,11.131574905606755,PASS
Worst-case envelope,162.51953125,34.983425094393255,40.0,5.0165749056067455,PASS
Worst-case envelope,502.412109375,31.48042509439325,47.0,15.51957490560675,PASS
Worst-case envelope,117.109375,30.85642509439325,40.0,9.143574905606751,PASS
Worst-case envelope,65.498046875,30.598425094393246,40.0,9.401574905606754,PASS
Worst-case envelope,889.5703125,30.586425094393245,47.0,16.413574905606755,PASS
