Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,892.158203125,53.496425094393246,47.0,-6.496425094393246,FAIL
Worst-case envelope,860.56640625,38.39742509439324,47.0,8.602574905606758,PASS
Worst-case envelope,853.14453125,33.53142509439324,47.0,13.468574905606758,PASS
Worst-case envelope,857.83203125,32.93842509439325,47.0,14.061574905606747,PASS
Worst-case envelope,855.634765625,32.02742509439325,47.0,14.972574905606749,PASS
Worst-case envelope,493.37890625,31.321425094393252,47.0,15.678574905606748,PASS
Worst-case envelope,162.51953125,30.143425094393248,40.0,9.856574905606752,PASS
Worst-case envelope,61.005859375,29.69742509439325,40.0,10.30257490560675,PASS
Worst-case envelope,502.94921875,29.59942509439325,47.0,17.40057490560675,PASS
Worst-case envelope,507.197265625,29.48942509439325,47.0,17.51057490560675,PASS
Worst-case envelope,80.537109375,29.45942509439325,40.0,10.54057490560675,PASS
Worst-case envelope,39.9609375,29.458425094393245,40.0,10.541574905606755,PASS
