Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,861.0546875,51.635425094393256,47.0,-4.635425094393256,FAIL
Worst-case envelope,853.4375,49.50342509439325,47.0,-2.5034250943932506,FAIL
Worst-case envelope,898.65234375,47.94742509439325,47.0,-0.9474250943932532,FAIL
Worst-case envelope,858.02734375,45.79142509439325,47.0,1.2085749056067527,PASS
Worst-case envelope,162.51953125,34.42542509439325,40.0,5.574574905606752,PASS
Worst-case envelope,39.912109375,32.65042509439324,40.0,7.349574905606758,PASS
Worst-case envelope,262.51953125,30.87342509439325,47.0,16.12657490560675,PASS
Worst-case envelope,700.01953125,30.69142509439325,47.0,16.30857490560675,PASS
Worst-case envelope,487.8125,30.131425094393247,47.0,16.868574905606753,PASS
Worst-case envelope,514.375,29.631425094393247,47.0,17.368574905606753,PASS
Worst-case envelope,502.705078125,29.235425094393246,47.0,17.764574905606754,PASS
Worst-case envelope,494.501953125,28.848425094393246,47.0,18.151574905606754,PASS
