Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,857.978515625,38.820425094393244,47.0,8.179574905606756,PASS
Worst-case envelope,861.201171875,38.30242509439324,47.0,8.697574905606757,PASS
Worst-case envelope,855.732421875,36.48842509439325,47.0,10.51157490560675,PASS
Worst-case envelope,852.705078125,35.868425094393245,47.0,11.131574905606755,PASS
Worst-case envelope,162.51953125,31.726425094393246,40.0,8.273574905606754,PASS
Worst-case envelope,39.912109375,31.491425094393247,40.0,8.508574905606753,PASS
Worst-case envelope,502.412109375,31.48042509439325,47.0,15.51957490560675,PASS
Worst-case envelope,492.890625,29.96542509439325,47.0,17.03457490560675,PASS
Worst-case envelope,506.66015625,29.710425094393248,47.0,17.289574905606752,PASS
Worst-case envelope,498.1640625,29.48942509439325,47.0,17.51057490560675,PASS
Worst-case envelope,500.21484375,28.817425094393247,47.0,18.182574905606753,PASS
Worst-case envelope,66.181640625,28.68842509439325,40.0,11.31157490560675,PASS
