Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Antenna at center,898.65234375,47.94742509439325,47.0,-0.9474250943932532,FAIL
Antenna at center,857.44140625,42.85742509439325,47.0,4.14257490560675,PASS
Antenna at center,861.005859375,42.745425094393255,47.0,4.254574905606745,PASS
Antenna at center,855.0,42.28242509439325,47.0,4.717574905606753,PASS
Antenna at center,852.900390625,39.26542509439325,47.0,7.734574905606749,PASS
Antenna at center,39.912109375,32.65042509439324,40.0,7.349574905606758,PASS
Antenna at center,514.375,29.631425094393247,47.0,17.368574905606753,PASS
Antenna at center,494.501953125,28.848425094393246,47.0,18.151574905606754,PASS
Antenna at center,490.009765625,28.73942509439325,47.0,18.26057490560675,PASS
Antenna at center,162.51953125,28.73342509439325,40.0,11.266574905606749,PASS
Antenna at center,262.51953125,27.525425094393245,47.0,19.474574905606755,PASS
Antenna at center,250.01953125,27.41342509439325,47.0,19.58657490560675,PASS
Antenna on cabinets side,861.0546875,51.635425094393256,47.0,-4.635425094393256,FAIL
Antenna on cabinets side,853.4375,49.50342509439325,47.0,-2.5034250943932506,FAIL
Antenna on cabinets side,898.65234375,46.55442509439325,47.0,0.4455749056067475,PASS
Antenna on cabinets side,858.02734375,45.79142509439325,47.0,1.2085749056067527,PASS
Antenna on cabinets side,855.927734375,41.90842509439325,47.0,5.091574905606748,PASS
Antenna on cabinets side,162.51953125,34.42542509439325,40.0,5.574574905606752,PASS
Antenna on cabinets side,700.01953125,30.69142509439325,47.0,16.30857490560675,PASS
Antenna on cabinets side,39.912109375,30.36142509439325,40.0,9.638574905606749,PASS
Antenna on cabinets side,486.787109375,30.131425094393247,47.0,16.868574905606753,PASS
Antenna on cabinets side,494.208984375,28.778425094393246,47.0,18.221574905606754,PASS
Antenna on cabinets side,497.3828125,28.323425094393247,47.0,18.676574905606753,PASS
Antenna on cabinets side,250.01953125,28.19142509439325,47.0,18.80857490560675,PASS
Antenna away from cabinets,861.0546875,42.97942509439325,47.0,4.02057490560675,PASS
Antenna away from cabinets,857.685546875,41.55342509439325,47.0,5.446574905606752,PASS
Antenna away from cabinets,855.48828125,40.75942509439325,47.0,6.240574905606749,PASS
Antenna away from cabinets,853.33984375,40.218425094393254,47.0,6.781574905606746,PASS
Antenna away from cabinets,162.51953125,32.749425094393246,40.0,7.250574905606754,PASS
Antenna away from cabinets,262.51953125,30.87342509439325,47.0,16.12657490560675,PASS
Antenna away from cabinets,39.912109375,30.716425094393248,40.0,9.283574905606752,PASS
Antenna away from cabinets,487.861328125,29.631425094393247,47.0,17.368574905606753,PASS
Antenna away from cabinets,502.705078125,29.235425094393246,47.0,17.764574905606754,PASS
Antenna away from cabinets,478.33984375,28.531425094393246,47.0,18.468574905606754,PASS
Antenna away from cabinets,495.283203125,28.348425094393246,47.0,18.651574905606754,PASS
Antenna away from cabinets,519.697265625,28.010425094393252,47.0,18.989574905606748,PASS
