Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Standby,861.201171875,42.87542509439325,47.0,4.1245749056067496,PASS
Standby,854.21875,41.346425094393254,47.0,5.653574905606746,PASS
Standby,162.51953125,31.62342509439325,40.0,8.376574905606748,PASS
Standby,32.001953125,28.93442509439325,40.0,11.065574905606749,PASS
Standby,40.05859375,28.845425094393246,40.0,11.154574905606754,PASS
Standby,61.103515625,28.741425094393247,40.0,11.258574905606753,PASS
Standby,493.427734375,28.16042509439325,47.0,18.83957490560675,PASS
Standby,113.69140625,27.87642509439325,40.0,12.123574905606748,PASS
Standby,80.48828125,27.75142509439325,40.0,12.248574905606748,PASS
Standby,506.07421875,27.67342509439325,47.0,19.32657490560675,PASS
Standby,250.01953125,27.439425094393247,47.0,19.560574905606753,PASS
Standby,502.94921875,27.256425094393247,47.0,19.743574905606753,PASS
Angulate,855.0,37.68142509439325,47.0,9.318574905606752,PASS
Angulate,852.75390625,36.33042509439325,47.0,10.669574905606751,PASS
Angulate,859.19921875,33.74742509439325,47.0,13.25257490560675,PASS
Angulate,33.466796875,30.49642509439325,40.0,9.503574905606751,PASS
Angulate,162.51953125,30.48942509439325,40.0,9.510574905606749,PASS
Angulate,861.25,30.28542509439325,47.0,16.71457490560675,PASS
Angulate,262.470703125,28.91142509439325,47.0,18.08857490560675,PASS
Angulate,112.51953125,28.591425094393248,40.0,11.408574905606752,PASS
Angulate,508.173828125,27.92842509439325,47.0,19.07157490560675,PASS
Angulate,137.51953125,27.77942509439325,40.0,12.22057490560675,PASS
Angulate,505.1953125,27.649425094393248,47.0,19.350574905606752,PASS
Angulate,80.732421875,27.61742509439325,40.0,12.382574905606749,PASS
FD-shift,855.78125,35.352425094393254,47.0,11.647574905606746,PASS
FD-shift,39.130859375,34.862425094393245,40.0,5.137574905606755,PASS
FD-shift,35.712890625,34.004425094393255,40.0,5.995574905606745,PASS
FD-shift,42.40234375,31.635425094393252,40.0,8.364574905606748,PASS
FD-shift,162.51953125,31.10342509439325,40.0,8.896574905606752,PASS
FD-shift,61.0546875,28.479425094393246,40.0,11.520574905606754,PASS
FD-shift,493.37890625,28.168425094393246,47.0,18.831574905606754,PASS
FD-shift,80.537109375,27.91742509439325,40.0,12.082574905606752,PASS
FD-shift,113.642578125,27.74642509439325,40.0,12.253574905606751,PASS
FD-shift,505.0,27.616425094393247,47.0,19.383574905606753,PASS
FD-shift,250.01953125,27.33742509439325,47.0,19.66257490560675,PASS
FD-shift,507.099609375,27.32242509439325,47.0,19.67757490560675,PASS
Long movement,35.615234375,42.472425094393245,40.0,-2.4724250943932446,FAIL
Long movement,857.197265625,41.704425094393244,47.0,5.295574905606756,PASS
Long movement,854.951171875,40.60442509439325,47.0,6.39557490560675,PASS
Long movement,48.75,37.709425094393254,40.0,2.2905749056067464,PASS
Long movement,38.837890625,36.92842509439325,40.0,3.0715749056067523,PASS
Long movement,861.0546875,36.117425094393255,47.0,10.882574905606745,PASS
Long movement,852.75390625,33.73242509439325,47.0,13.26757490560675,PASS
Long movement,162.51953125,31.27342509439325,40.0,8.72657490560675,PASS
Long movement,94.501953125,30.878425094393247,40.0,9.121574905606753,PASS
Long movement,262.470703125,28.351425094393246,47.0,18.648574905606754,PASS
Long movement,80.732421875,28.250425094393247,40.0,11.749574905606753,PASS
Long movement,499.970703125,27.72842509439325,47.0,19.27157490560675,PASS
Rotate,853.095703125,39.26842509439325,47.0,7.731574905606749,PASS
Rotate,855.634765625,37.39742509439324,47.0,9.602574905606758,PASS
Rotate,860.908203125,36.373425094393255,47.0,10.626574905606745,PASS
Rotate,857.685546875,33.89842509439325,47.0,13.101574905606753,PASS
Rotate,505.634765625,31.48342509439325,47.0,15.516574905606749,PASS
Rotate,162.51953125,31.36142509439325,40.0,8.638574905606749,PASS
Rotate,32.587890625,30.592425094393246,40.0,9.407574905606754,PASS
Rotate,503.53515625,30.52342509439325,47.0,16.47657490560675,PASS
Rotate,40.05859375,30.29742509439325,40.0,9.702574905606749,PASS
Rotate,494.013671875,29.777425094393248,47.0,17.222574905606752,PASS
Rotate,483.369140625,29.21842509439325,47.0,17.78157490560675,PASS
Rotate,496.064453125,29.159425094393246,47.0,17.840574905606754,PASS
