Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Standby,857.978515625,38.820425094393244,47.0,8.179574905606756,PASS
Standby,861.201171875,38.30242509439324,47.0,8.697574905606757,PASS
Standby,855.732421875,36.48842509439325,47.0,10.51157490560675,PASS
Standby,852.705078125,35.868425094393245,47.0,11.131574905606755,PASS
Standby,162.51953125,31.726425094393246,40.0,8.273574905606754,PASS
Standby,39.912109375,31.491425094393247,40.0,8.508574905606753,PASS
Standby,502.412109375,31.48042509439325,47.0,15.51957490560675,PASS
Standby,492.890625,29.96542509439325,47.0,17.03457490560675,PASS
Standby,506.66015625,29.710425094393248,47.0,17.289574905606752,PASS
Standby,498.1640625,29.48942509439325,47.0,17.51057490560675,PASS
Standby,500.21484375,28.817425094393247,47.0,18.182574905606753,PASS
Standby,66.181640625,28.68842509439325,40.0,11.31157490560675,PASS
CLEA FD-rotate,42.548828125,34.68342509439324,40.0,5.316574905606757,PASS
CLEA FD-rotate,162.51953125,32.02242509439324,40.0,7.977574905606758,PASS
CLEA FD-rotate,502.65625,30.61142509439325,47.0,16.38857490560675,PASS
CLEA FD-rotate,493.0859375,29.76442509439325,47.0,17.23557490560675,PASS
CLEA FD-rotate,505.830078125,29.567425094393247,47.0,17.432574905606753,PASS
CLEA FD-rotate,889.619140625,29.05942509439325,47.0,17.94057490560675,PASS
CLEA FD-rotate,498.408203125,28.997425094393247,47.0,18.002574905606753,PASS
CLEA FD-rotate,484.58984375,28.85042509439325,47.0,18.14957490560675,PASS
CLEA FD-rotate,66.1328125,28.49942509439325,40.0,11.50057490560675,PASS
CLEA FD-rotate,507.880859375,28.388425094393245,47.0,18.611574905606755,PASS
CLEA FD-rotate,112.6171875,28.262425094393247,40.0,11.737574905606753,PASS
CLEA FD-rotate,478.2421875,28.13342509439325,47.0,18.86657490560675,PASS
CLEA FD-shift,162.51953125,32.05242509439324,40.0,7.947574905606757,PASS
CLEA FD-shift,39.912109375,31.69142509439325,40.0,8.30857490560675,PASS
CLEA FD-shift,501.826171875,31.451425094393247,47.0,15.548574905606753,PASS
CLEA FD-shift,493.330078125,29.66642509439325,47.0,17.33357490560675,PASS
CLEA FD-shift,506.025390625,29.52042509439325,47.0,17.47957490560675,PASS
CLEA FD-shift,498.65234375,29.091425094393248,47.0,17.908574905606752,PASS
CLEA FD-shift,484.78515625,28.632425094393252,47.0,18.367574905606748,PASS
CLEA FD-shift,66.1328125,28.57242509439325,40.0,11.42757490560675,PASS
CLEA FD-shift,508.076171875,28.53242509439325,47.0,18.46757490560675,PASS
CLEA FD-shift,112.71484375,28.443425094393252,40.0,11.556574905606748,PASS
CLEA FD-shift,496.40625,28.256425094393247,47.0,18.743574905606753,PASS
CLEA FD-shift,80.732421875,28.144425094393245,40.0,11.855574905606755,PASS
CLEA Prop,35.517578125,41.094425094393245,40.0,-1.0944250943932445,FAIL
CLEA Prop,43.427734375,39.91742509439325,40.0,0.08257490560674796,PASS
CLEA Prop,162.51953125,32.70542509439325,40.0,7.294574905606751,PASS
CLEA Prop,502.412109375,30.890425094393247,47.0,16.109574905606753,PASS
CLEA Prop,117.109375,30.85642509439325,40.0,9.143574905606751,PASS
CLEA Prop,492.890625,30.150425094393245,47.0,16.849574905606755,PASS
CLEA Prop,506.66015625,29.75242509439325,47.0,17.24757490560675,PASS
CLEA Prop,498.1640625,29.719425094393248,47.0,17.280574905606752,PASS
CLEA Prop,500.3125,29.348425094393246,47.0,17.651574905606754,PASS
CLEA Prop,489.716796875,29.00142509439325,47.0,17.99857490560675,PASS
CLEA Prop,478.046875,28.622425094393247,47.0,18.377574905606753,PASS
CLEA Prop,496.015625,28.351425094393246,47.0,18.648574905606754,PASS
CLEA Roll,34.296875,41.965425094393254,40.0,-1.9654250943932539,FAIL
CLEA Roll,162.51953125,34.983425094393255,40.0,5.0165749056067455,PASS
CLEA Roll,39.9609375,34.386425094393246,40.0,5.613574905606754,PASS
CLEA Roll,43.330078125,33.38742509439325,40.0,6.612574905606749,PASS
CLEA Roll,502.4609375,30.78542509439325,47.0,16.21457490560675,PASS
CLEA Roll,889.5703125,30.586425094393245,47.0,16.413574905606755,PASS
CLEA Roll,505.634765625,30.031425094393246,47.0,16.968574905606754,PASS
CLEA Roll,492.939453125,29.82242509439325,47.0,17.17757490560675,PASS
CLEA Roll,498.26171875,29.403425094393246,47.0,17.596574905606754,PASS
CLEA Roll,84.150390625,29.24342509439325,40.0,10.756574905606751,PASS
CLEA Roll,489.765625,28.882425094393252,47.0,18.117574905606748,PASS
CLEA Roll,496.11328125,28.823425094393247,47.0,18.176574905606753,PASS
CLEA Pivot,898.5546875,50.40542509439325,47.0,-3.4054250943932516,FAIL
CLEA Pivot,43.0859375,37.210425094393244,40.0,2.789574905606756,PASS
CLEA Pivot,162.51953125,33.14942509439325,40.0,6.850574905606749,PASS
CLEA Pivot,502.36328125,31.442425094393247,47.0,15.557574905606753,PASS
CLEA Pivot,65.498046875,30.598425094393246,40.0,9.401574905606754,PASS
CLEA Pivot,492.841796875,29.93242509439325,47.0,17.06757490560675,PASS
CLEA Pivot,506.611328125,29.527425094393248,47.0,17.472574905606752,PASS
CLEA Pivot,498.115234375,29.20642509439325,47.0,17.79357490560675,PASS
