Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Only cabinets,889.5703125,47.81642509439325,47.0,-0.816425094393253,FAIL
Only cabinets,856.7578125,43.623425094393255,47.0,3.376574905606745,PASS
Only cabinets,861.0546875,43.26342509439324,47.0,3.7365749056067585,PASS
Only cabinets,852.94921875,42.91342509439325,47.0,4.086574905606753,PASS
Only cabinets,162.51953125,32.17742509439324,40.0,7.822574905606757,PASS
Only cabinets,35.810546875,29.75542509439325,40.0,10.24457490560675,PASS
Only cabinets,137.51953125,28.27342509439325,40.0,11.72657490560675,PASS
With 10SPC CLEA SAMD on,861.201171875,42.06542509439325,47.0,4.934574905606752,PASS
With 10SPC CLEA SAMD on,857.490234375,38.885425094393256,47.0,8.114574905606744,PASS
With 10SPC CLEA SAMD on,854.51171875,38.820425094393244,47.0,8.179574905606756,PASS
With 10SPC CLEA SAMD on,162.51953125,32.38742509439325,40.0,7.612574905606749,PASS
With 10SPC CLEA SAMD on,499.970703125,31.56542509439325,47.0,15.434574905606748,PASS
With 10SPC CLEA SAMD on,35.810546875,30.555425094393247,40.0,9.444574905606753,PASS
CLEA SAMD unpowered,892.158203125,45.079425094393244,47.0,1.920574905606756,PASS
CLEA SAMD unpowered,861.201171875,35.978425094393245,47.0,11.021574905606755,PASS
CLEA SAMD unpowered,162.51953125,32.17142509439324,40.0,7.828574905606757,PASS
CLEA SAMD unpowered,500.01953125,31.391425094393245,47.0,15.608574905606755,PASS
CLEA SAMD unpowered,33.41796875,30.37342509439325,40.0,9.626574905606748,PASS
CLEA SAMD logic only (24V SMPS on),861.201171875,48.30742509439325,47.0,-1.3074250943932526,FAIL
CLEA SAMD logic only (24V SMPS on),852.8515625,43.60442509439325,47.0,3.3955749056067503,PASS
CLEA SAMD logic only (24V SMPS on),859.052734375,41.35442509439325,47.0,5.64557490560675,PASS
CLEA SAMD logic only (24V SMPS on),856.416015625,39.102425094393254,47.0,7.897574905606746,PASS
CLEA SAMD logic only (24V SMPS on),162.51953125,32.40742509439325,40.0,7.592574905606753,PASS
CLEA SAMD logic only (24V SMPS on),500.01953125,31.463425094393248,47.0,15.536574905606752,PASS
CLEA SAMD logic only (24V SMPS on),33.466796875,30.735425094393246,40.0,9.264574905606754,PASS
