Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Ambient (22 May),700.01953125,26.80442509439325,47.0,20.19557490560675,PASS
Ambient (22 May),112.8125,26.56942509439325,40.0,13.43057490560675,PASS
Ambient (22 May),47.7734375,26.42242509439325,40.0,13.577574905606749,PASS
4SLF OFF — Standby,860.56640625,38.39742509439324,47.0,8.602574905606758,PASS
4SLF OFF — Standby,853.14453125,33.53142509439324,47.0,13.468574905606758,PASS
4SLF OFF — Standby,857.83203125,32.93842509439325,47.0,14.061574905606747,PASS
4SLF OFF — Standby,855.634765625,32.02742509439325,47.0,14.972574905606749,PASS
4SLF OFF — Standby,493.623046875,30.927425094393246,47.0,16.072574905606754,PASS
4SLF OFF — Standby,162.51953125,29.906425094393246,40.0,10.093574905606754,PASS
4SLF OFF — Standby,61.005859375,29.69742509439325,40.0,10.30257490560675,PASS
4SLF OFF — Standby,80.537109375,29.45942509439325,40.0,10.54057490560675,PASS
4SLF OFF — Standby,503.193359375,29.35542509439325,47.0,17.64457490560675,PASS
4SLF OFF — Standby,506.3671875,29.24642509439325,47.0,17.75357490560675,PASS
4SLF OFF — Standby,485.078125,28.67942509439325,47.0,18.32057490560675,PASS
4SLF OFF — Standby,500.99609375,28.55342509439325,47.0,18.44657490560675,PASS
Full system ON — Standby,892.158203125,53.496425094393246,47.0,-6.496425094393246,FAIL
Full system ON — Standby,493.37890625,31.321425094393252,47.0,15.678574905606748,PASS
Full system ON — Standby,162.51953125,30.143425094393248,40.0,9.856574905606752,PASS
Full system ON — Standby,502.94921875,29.59942509439325,47.0,17.40057490560675,PASS
Full system ON — Standby,507.197265625,29.48942509439325,47.0,17.51057490560675,PASS
Full system ON — Standby,39.9609375,29.458425094393245,40.0,10.541574905606755,PASS
Full system ON — Standby,484.833984375,29.10942509439325,47.0,17.89057490560675,PASS
Full system ON — Standby,80.5859375,29.004425094393252,40.0,10.995574905606748,PASS
Full system ON — Standby,60.95703125,28.91142509439325,40.0,11.088574905606752,PASS
Full system ON — Standby,505.0,28.771425094393248,47.0,18.228574905606752,PASS
Full system ON — Standby,500.80078125,28.272425094393245,47.0,18.727574905606755,PASS
Full system ON — Standby,32.001953125,28.198425094393247,40.0,11.801574905606753,PASS
