Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Antenna in middle,33.466796875,44.965425094393254,40.0,-4.965425094393254,FAIL
Antenna in middle,41.5234375,35.05642509439325,40.0,4.943574905606752,PASS
Antenna in middle,49.7265625,34.71442509439325,40.0,5.285574905606751,PASS
Antenna in middle,52.998046875,34.56642509439325,40.0,5.433574905606747,PASS
Antenna in middle,162.51953125,34.08342509439325,40.0,5.916574905606751,PASS
Antenna in middle,64.765625,31.372425094393247,40.0,8.627574905606753,PASS
Antenna in middle,94.0625,28.768425094393248,40.0,11.231574905606752,PASS
Antenna in middle,137.51953125,28.43242509439325,40.0,11.567574905606751,PASS
Antenna in middle,262.51953125,27.97442509439325,47.0,19.02557490560675,PASS
Antenna in middle,250.01953125,27.208425094393245,47.0,19.791574905606755,PASS
Antenna near cabinets,33.466796875,42.834425094393254,40.0,-2.8344250943932536,FAIL
Antenna near cabinets,35.908203125,36.63742509439325,40.0,3.362574905606749,PASS
Antenna near cabinets,53.4375,35.55442509439325,40.0,4.4455749056067475,PASS
Antenna near cabinets,162.51953125,35.389425094393246,40.0,4.610574905606754,PASS
Antenna near cabinets,44.111328125,34.27842509439324,40.0,5.721574905606758,PASS
Antenna near cabinets,81.416015625,29.732425094393246,40.0,10.267574905606754,PASS
Antenna near cabinets,534.19921875,29.561425094393247,47.0,17.438574905606753,PASS
Antenna near cabinets,250.01953125,29.18742509439325,47.0,17.81257490560675,PASS
